Passengers,Distance,TotalCharge,AveSpeed,trip_duration,day,dayofweek,hour,TripCount
2,0.77,10.56,4.13731343283582,14,1,1,13,14
1,1.13,10.78,5.4972972972973,14,1,1,13,14
1,0.78,15.8,1.87449933244326,83,1,1,12,14
1,1.3,15.95,4.38202247191011,70,1,1,12,14
1,3.98,18.8,9.49502982107356,72,1,1,12,14
1,5.9,39.99,9.09635974304069,85,1,1,12,14
1,1.0,13.56,3.63636363636364,61,1,1,12,14
1,2.72,19.8,5.3044420368364,68,1,1,12,14
1,0.6,8.8,3.19054652880355,48,1,1,12,14
4,1.1,15.3,2.74238227146814,57,1,1,12,14
1,1.9,14.8,6.57692307692308,46,1,1,12,14
4,3.36,23.16,7.20858164481526,67,1,1,12,14
1,3.63,17.8,9.75952203136669,61,1,1,12,14
1,0.7,8.8,3.92523364485981,49,1,1,12,14
5,1.65,11.76,8.86567164179105,35,1,1,12,14
1,2.6,18.5,7.53623188405797,55,1,1,12,14
2,1.59,12.25,8.10764872521247,31,1,1,12,14
2,1.33,11.8,4.73122529644269,36,1,1,12,14
3,1.55,11.62,8.75981161695447,36,1,1,12,14
1,2.55,20.3,4.88817891373802,35,1,1,13,14
1,1.2,13.5,5.39325842696629,18,1,1,13,14
1,0.7,11.15,3.63112391930836,16,1,1,13,14
1,2.0,24.75,3.68663594470046,39,1,1,13,14
1,3.6,21.35,8.7508440243079,74,1,1,13,14
1,1.18,14.12,4.45283018867925,64,1,1,13,14
1,2.6,13.3,11.4565483476132,58,1,1,13,14
5,1.68,15.3,4.32,65,1,1,13,14
1,0.9,15.35,2.87488908606921,60,1,1,13,14
3,0.8,10.8,3.23959505061867,53,1,1,13,14
3,1.29,12.88,6.03116883116883,50,1,1,13,14
1,5.3,27.35,12.3896103896104,63,1,1,13,14
1,1.33,13.5,5.61313012895662,50,1,1,13,14
1,8.0,34.84,14.1315014720314,73,1,1,15,14
1,1.3,10.55,8.91428571428571,41,1,1,13,14
5,1.63,11.0,11.2413793103448,40,1,1,13,14
1,8.2,37.89,29.3731343283582,47,1,1,13,14
5,1.52,11.76,7.8961038961039,41,1,1,13,14
1,2.25,16.3,5.52523874488404,51,1,1,13,14
1,4.7,27.35,9.38435940099834,54,1,1,13,14
1,10.26,44.21,26.5154343144293,47,1,1,13,14
1,2.14,14.16,8.94773519163763,30,1,1,13,14
1,7.0,34.55,12.316715542522,48,1,1,13,14
6,1.23,12.8,3.98559855985599,27,1,1,13,14
1,2.1,20.8,4.25196850393701,62,1,1,13,14
1,2.2,15.07,6.8334771354616,51,1,1,15,14
1,3.35,21.36,7.84645413142485,73,1,1,15,14
6,1.31,14.76,4.57864077669903,58,1,1,15,14
1,8.7,38.34,24.4115354637568,28,1,1,23,14
1,10.3,37.56,28.9913995308835,30,1,1,23,14
1,4.5,15.8,26.0450160771704,20,1,1,23,14
1,8.12,32.34,21.5257731958763,33,1,1,23,14
1,10.0,36.36,30.5862361937128,30,1,1,23,14
1,5.6,30.35,11.6464471403813,42,1,1,23,14
1,9.3,34.34,30.3260869565217,35,1,1,23,14
1,8.87,35.3,22.4556962025316,50,1,1,23,14
1,1.5,12.25,9.49033391915642,40,1,1,23,14
5,1.89,12.36,11.6907216494845,43,1,1,23,14
1,8.87,33.36,24.6009244992296,55,1,1,23,14
1,7.0,34.84,18.9047261815454,57,1,1,23,14
1,7.38,34.56,13.3843828715365,70,1,1,23,14
5,3.32,13.8,14.7373612823674,50,1,1,23,14
6,8.2,36.16,33.469387755102,59,1,1,23,14
1,3.2,13.3,17.219730941704,60,1,1,23,14
1,2.01,10.3,12.2852292020374,60,1,1,23,14
1,4.0,17.75,17.9327521793275,68,1,1,23,14
1,2.6,14.12,17.0491803278689,65,1,1,23,14
